level,group_key,file_count,bytes,aggregate_sha256,role_counts_json
subtree,collections/fawaz-hadith-api-v1/editions/ind-malik.min.json,1,1059541,E248E757442FCA04CF2E4875E628E507D75F0A3A58CACF46E81AA19CF5AFE83F,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-muslim,15240,27594444,1FDEA27A41549C4A3F1D1CF3A63D658D0A4488378A5CF4052D42339870AA4418,"{""generated"": 7620, ""mirror"": 7620}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-muslim.json,1,6097386,116E647ABAEEDAD555CAEF39D78DCF38761E47F8A47242EFCDABB7C3BC05DC56,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-muslim.min.json,1,5665755,D43D2187360BD9F2E2843E637D4F0FFD143BF02B51376CDB692A83C234C97810,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-nasai,11620,23415792,097BEF0F8B3633605AC1944D2558A96704DDE75783463A1A397244D7FD3575E0,"{""generated"": 5810, ""mirror"": 5810}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-nasai.json,1,5500992,10DEB745D39118459DFB668CE884372A907CED3E7AB0B00212590C1A09F2F198,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-nasai.min.json,1,4663958,B6BB4D694CCC9AA96B033160FFC82E94FC5EACA8EC89EE3FBA5B6A903141FC25,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-tirmidhi,8012,20684593,3F2278A3255A96AB41B72D020CC0D1845773E6420FE51E3025A8E883FF03DE37,"{""generated"": 4006, ""mirror"": 4006}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-tirmidhi.json,1,4964262,03E92A32ED42F45ECBC941B21793270368688E6615F81C3D1DA3304572D9F01C,"{""payload_unselected"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/ind-tirmidhi.min.json,1,4327581,05967B0200D21BACD322E91BF3C0FAF5455CB268AB26D9CD23E86887466C74B9,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/rus-abudawud,10636,24001949,B9FF3C624C3C846CD952776F4617B1AA1683B6B20AD51CECD69848821C275703,"{""generated"": 5318, ""mirror"": 5318}"
subtree,collections/fawaz-hadith-api-v1/editions/rus-abudawud.json,1,5710422,89341CFF4C9AFB822761D7C1A37C1589DBB09105F868D21108C80B2F87E7E4EE,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/rus-abudawud.min.json,1,4854511,B247BDC42F24C24ACB502DD641E771CB017294D88635C0BC327807C3EBD20A84,"{""mirror"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/rus-bukhari,15322,36844336,BFCC851D94F1D0C0C6B056BCFC06C72B8BA14F9FE76217CF4DBB4F4080BC1BB7,"{""generated"": 7661, ""mirror"": 7661}"
subtree,collections/fawaz-hadith-api-v1/editions/rus-bukhari.json,1,8417300,6B03476F150DEB10FAE4D53903C42913119DACA391C6D440127C2D6B7DD39AE2,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/rus-bukhari.min.json,1,7980221,549A953A836FFDBE248A0F4759348CE6D26716901BC21EF7CF78A6C4606F3A92,"{""principal"": 1}"
subtree,collections/fawaz-hadith-api-v1/editions/rus-muslim,15240,16270464,DD4E8B801ACB58ADC1BFB04D330BF5E5B4D4BFE1F3010AEACE8C61C75D01B615,"{""generated"": 7620, ""mirror"": 7620}"
